round,candidate_id,S,C,L,Q_raw,Q_rel,on_frontier,selected
8,deepseek_v3_2_exp/direct,0.3551,0.017547,15.233,0.3551,0.999,1,0
8,deepseek_v3_2_exp/executor_plus_verifier,0.3554,0.062885,45.296,0.3554,1.0,1,1
8,deepseek_v3_2_exp/executor_verifier_agg,0.3539,0.091075,65.404,0.3539,0.9947,1,0
8,deepseek_v3_2_exp/direct,0.1096,0.010855,9.23,0.1096,0.0965,1,0
8,deepseek_v3_2/executor_verifier_agg,0.3469,0.102934,80.212,0.3469,0.9688,1,0
8,deepseek_v3_2/direct,0.1026,0.010833,8.921,0.1026,0.0705,1,0
8,deepseek_v3_1/direct,0.2817,0.032694,6.547,0.2817,0.7292,1,0
8,deepseek_r1/direct,0.3407,0.070801,23.14,0.3407,0.946,1,0
8,deepseek_r1/executor_plus_verifier,0.3317,0.177218,67.827,0.3317,0.913,1,0
8,deepseek_r1_32b/direct,0.3155,0.022099,8.158,0.3155,0.8534,1,0
8,deepseek_r1_32b/direct,0.1678,0.007814,12.091,0.1678,0.3102,1,0
8,deepseek_r1_32b/direct,0.0834,0.002857,15.763,0.0834,0.0,1,0
8,kimi_k2_5/executor_plus_verifier,0.3146,0.217746,52.042,0.3146,0.8502,1,0
8,step_3_5_flash/direct,0.268,0.029335,4.533,0.268,0.6788,1,0
9,qwen_7b/direct,0.2131,0.015576,5.96,0.2131,0.4716,1,0
9,qwen_14b/direct,0.2872,0.016731,5.091,0.2872,0.7425,1,0
9,qwen_14b/executor_plus_verifier,0.3065,0.014019,10.367,0.3065,0.8131,1,0
9,qwen_14b/executor_plus_verifier,0.1662,0.00197,30.637,0.1662,0.3,1,0
9,qwen_32b/direct,0.3007,0.013834,7.942,0.3007,0.7917,1,0
9,qwen_32b/executor_plus_verifier,0.3156,0.035603,14.732,0.3156,0.846,1,0
9,qwen_397b/direct,0.337,0.016486,25.303,0.337,0.9242,1,0
9,qwen_vl_30b/executor_plus_verifier,0.3263,0.045208,90.416,0.3263,0.8853,1,0
9,qwen_vl_30b/executor_verifier_agg,0.3501,0.043924,130.282,0.3501,0.9722,1,0
9,qwen_vl_30b/direct,0.1836,0.012824,39.43,0.1836,0.3639,1,0
9,deepseek_v3_2_exp/direct,0.3543,0.017551,15.271,0.3543,0.9875,1,0
9,deepseek_v3_2_exp/executor_plus_verifier,0.3577,0.061963,45.358,0.3577,1.0,1,1
9,deepseek_v3_2_exp/executor_verifier_agg,0.355,0.089032,65.333,0.355,0.9901,1,0
9,deepseek_v3_2_exp/direct,0.1142,0.010674,9.144,0.1142,0.11,1,0
9,deepseek_v3_1/direct,0.2824,0.033294,6.296,0.2824,0.7249,1,0
9,deepseek_r1/direct,0.3387,0.07427,22.992,0.3387,0.9307,1,0
9,deepseek_r1_32b/direct,0.3159,0.018318,8.042,0.3159,0.8472,1,0
9,deepseek_r1_32b/executor_verifier_agg,0.3316,0.057762,82.749,0.3316,0.9046,1,0
9,deepseek_r1_32b/direct,0.1683,0.010933,11.953,0.1683,0.3079,1,0
9,deepseek_r1_32b/direct,0.0841,0.0,15.711,0.0841,0.0,1,0
9,kimi_k2_5/executor_plus_verifier,0.3166,0.220779,52.261,0.3166,0.8498,1,0
9,step_3_5_flash/direct,0.263,0.031468,4.466,0.263,0.654,1,0
